city,country,x3,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x33,x36,x38,x39,x41,x47,x48,x49,x50,x51,x52,x53,x54,x55,country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Seoul,South Korea,6.15,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,1.43,182.13,22.48,55.88,9.6,110.36,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,3.47,,,,,,,,115.0,South Korea,73.22,20.02,48.28,91.95,42.1,76.85
Shanghai,China,5.69,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,1.2,66.0,17.07,63.49,8.54,123.51,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,5.03,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Guangzhou,China,4.98,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,1.19,59.65,16.66,34.17,8.54,43.89,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,5.19,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Mumbai,India,3.68,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,1.35,43.57,9.33,25.37,4.3,41.17,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,7.96,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Delhi,India,4.3,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,1.24,58.07,7.95,21.2,4.91,36.5,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,8.06,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Dhaka,Bangladesh,4.88,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,1.1,37.06,21.9,17.24,4.88,41.53,142.09,87.79,347.57,208.5,1119.98,571.72,280.73,9.26,Bangladesh,Asia,Monthly,218.57,236.71,59.68,1052.06,11.0,Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3
Osaka,Japan,5.36,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,1.24,128.77,32.15,65.2,13.84,132.61,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1.49,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Jakarta,Indonesia,3.57,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,0.81,83.88,31.57,30.89,3.24,79.85,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,9.05,Indonesia,Asia,Monthly,678.91,788.83,198.5,3504.47,54.0,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07
Shenzhen,China,4.98,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,1.19,67.63,18.21,51.65,7.12,106.77,738.75,435.07,1682.3,886.16,17898.73,8091.57,1572.22,4.99,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Kinshasa,Congo,10.08,2.0,1.33,5.17,4.15,9.5,5.0,20.0,10.0,3.25,5.25,6.33,3.6,2.83,1.67,2.0,1.22,553.99,300.0,97.5,10.0,93.33,2000.0,725.0,4500.0,1160.0,6170.63,933.33,400.0,19.33,Congo,Africa,Monthly,1058.67,1205.3,302.94,5365.86,,,,,,,,
